Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details,Market Cap,Cash on Hand,Net Income,Free Cash Flow,Equity
11/6/2014,$0.47,Quarter,1.70%,N/A,10/20/2014,11/10/2014,11/13/2014,Details,732.23B,"$25,077","$8,467","50,142.00",AAPL
8/7/2014,$0.47,Quarter,2%,N/A,7/22/2014,8/11/2014,8/14/2014,Details,652.43B,"$37,805","$7,748","40,718.00",AAPL
5/8/2014,$3.29,Quarter,9.90%,+7.9%,4/23/2014,5/12/2014,5/15/2014,Details,590.77B,"$41,350","$10,223","32,841.00",AAPL
2/6/2014,$3.05,Quarter,2.40%,N/A,1/27/2014,2/10/2014,2/13/2014,Details,570.16B,"$40,711","$13,072","20,685.00",AAPL
11/6/2013,$3.05,Quarter,2.30%,N/A,10/28/2013,11/11/2013,11/14/2013,Details,564.98B,"$40,546","$7,512","45,501.00",AAPL
8/8/2013,$3.05,Quarter,2.60%,N/A,7/23/2013,8/12/2013,8/15/2013,Details,447.58B,"$42,606","$6,900","37,548.00",AAPL
5/9/2013,$3.05,Quarter,2.70%,+15.1%,4/23/2013,5/13/2013,5/16/2013,Details,475.38B,"$39,137","$9,547","31,605.00",AAPL
2/7/2013,$2.65,Quarter,2.30%,N/A,1/23/2013,2/11/2013,2/14/2013,Details,457.87B,"$39,820","$13,078","21,109.00",AAPL
11/7/2012,$2.65,Quarter,1.90%,N/A,10/25/2012,11/12/2012,11/15/2012,Details,387.48B,"$29,129","$8,223","42,561.00",AAPL
8/9/2012,$2.65,Quarter,1.70%,N/A,7/24/2012,8/13/2012,8/16/2012,Details,403.43B,"$27,654","$8,824","36,886.00",AAPL
1/4/2023,$0.38,Quarter,3.20%,N/A,12/8/2022,1/5/2023,1/25/2023,Details,183.21B,"$19,267","$2,815",13.23B,CSCO
10/4/2022,$0.38,Quarter,3.60%,N/A,8/23/2022,10/5/2022,10/26/2022,Details,176.43B,"$20,108","$3,044",12.75B,CSCO
7/5/2022,$0.38,Quarter,3.60%,N/A,6/6/2022,7/6/2022,7/27/2022,Details,231.68B,"$21,113","$2,973",13.55B,CSCO
4/5/2022,$0.38,Quarter,2.80%,+2.7%,2/16/2022,4/6/2022,4/27/2022,Details,226.19B,"$23,346","$2,980",13.71B,CSCO
1/4/2022,$0.37,Quarter,2.40%,N/A,12/13/2021,1/5/2022,1/26/2022,Details,250.62B,"$24,518","$3,009",14.14B,CSCO
10/4/2021,$0.37,Quarter,2.70%,N/A,9/22/2021,10/5/2021,10/27/2021,Details,222.72B,"$23,579","$2,863",14.76B,CSCO
7/2/2021,$0.37,Quarter,2.80%,N/A,5/26/2021,7/6/2021,7/28/2021,Details,200.87B,"$30,588","$2,545",14.01B,CSCO
1/4/2021,$0.36,Quarter,3.30%,N/A,12/10/2020,1/5/2021,1/20/2021,Details,163.40B,"$30,012","$2,174",14.37B,CSCO
10/1/2020,$0.36,Quarter,3.70%,N/A,9/9/2020,10/2/2020,10/21/2020,Details,178.65B,"$29,419","$2,636",15.20B,CSCO
7/2/2020,$0.36,Quarter,3.20%,N/A,6/10/2020,7/6/2020,7/22/2020,Details,185.15B,"$28,574","$2,774",14.66B,CSCO
1/2/2020,$0.35,Quarter,2.90%,N/A,12/9/2019,1/3/2020,1/22/2020,Details,200.68B,"$27,062","$2,878",14.80B,CSCO
10/3/2019,$0.35,Quarter,3%,N/A,9/20/2019,10/4/2019,10/23/2019,Details,190.52B,"$28,035","$2,926",14.83B,CSCO
7/3/2019,$0.35,Quarter,2.50%,N/A,6/6/2019,7/5/2019,7/24/2019,Details,198.72B,"$33,413","$2,206",14.76B,CSCO
4/4/2019,$0.35,Quarter,2.50%,+6.1%,2/13/2019,4/5/2019,4/24/2019,Details,239.42B,"$34,643","$3,044",14.92B,CSCO
1/3/2019,$0.33,Quarter,3.20%,N/A,12/6/2018,1/4/2019,1/23/2019,Details,213.06B,"$40,383","$2,822",15.07B,CSCO
10/4/2018,$0.33,Quarter,2.70%,N/A,9/20/2018,10/5/2018,10/24/2018,Details,210.28B,"$42,593","$3,549",13.15B,CSCO
7/5/2018,$0.33,Quarter,3.10%,N/A,5/30/2018,7/6/2018,7/25/2018,Details,218.37B,"$46,548","$3,803",13.47B,CSCO
4/4/2018,$0.33,Quarter,3.20%,+13.8%,2/14/2018,4/5/2018,4/25/2018,Details,204.39B,"$54,431","$2,691",12.83B,CSCO
1/4/2018,$0.29,Quarter,3%,N/A,12/11/2017,1/5/2018,1/24/2018,Details,212.36B,"$73,683","-$8,778",12.74B,CSCO
10/4/2017,$0.29,Quarter,3.50%,N/A,9/13/2017,10/5/2017,10/25/2017,Details,177.38B,"$71,588","$2,394",13.71B,CSCO
7/5/2017,$0.29,Quarter,3.70%,N/A,6/6/2017,7/7/2017,7/26/2017,Details,159.95B,"$70,492","$2,424",13.37B,CSCO
4/4/2017,$0.29,Quarter,3.50%,+11.5%,2/15/2017,4/6/2017,4/26/2017,Details,156.90B,"$67,974","$2,515",12.91B,CSCO
1/4/2017,$0.26,Quarter,3.50%,N/A,12/8/2016,1/6/2017,1/25/2017,Details,168.26B,"$71,845","$2,348",12.67B,CSCO
10/3/2016,$0.26,Quarter,3.30%,N/A,9/12/2016,10/5/2016,10/26/2016,Details,150.84B,"$70,968","$2,322",12.29B,CSCO
7/5/2016,$0.26,Quarter,3.70%,N/A,6/6/2016,7/7/2016,7/27/2016,Details,159.61B,"$65,756","$2,813",12.38B,CSCO
4/4/2016,$0.26,Quarter,3.70%,+23.8%,2/10/2016,4/6/2016,4/27/2016,Details,138.67B,"$63,512","$2,349",12.42B,CSCO
1/4/2016,$0.21,Quarter,3.20%,N/A,11/19/2015,1/6/2016,1/20/2016,Details,126.36B,"$60,375","$3,147",12.69B,CSCO
10/1/2015,$0.21,Quarter,3.30%,N/A,9/15/2015,10/5/2015,10/21/2015,Details,133.04B,"$59,107","$2,430",12.61B,CSCO
7/1/2015,$0.21,Quarter,3.10%,N/A,5/28/2015,7/6/2015,7/22/2015,Details,131.09B,"$60,416","$2,319",11.62B,CSCO
